date_rptd,count,y_hat,crimen,zona
2021-07-14,37.0,36.0,104,1
2021-07-15,40.0,40.0,104,1
2021-07-16,27.0,28.0,104,1
2021-07-17,24.0,25.0,104,1
2021-07-18,35.0,34.0,104,1
2021-07-19,34.0,35.0,104,1
2021-07-20,43.0,43.0,104,1
2021-07-21,36.0,37.0,104,1
2021-07-22,35.0,34.0,104,1
2021-07-23,29.0,29.0,104,1
2021-07-24,26.0,27.0,104,1
2021-07-25,32.0,32.0,104,1
2021-07-26,34.0,34.0,104,1
2021-07-27,37.0,37.0,104,1
2021-07-28,24.0,24.0,104,1
2021-07-29,34.0,34.0,104,1
2021-07-30,26.0,26.0,104,1
2021-07-31,27.0,27.0,104,1
2021-08-01,28.0,28.0,104,1
2021-08-02,43.0,43.0,104,1
2021-08-03,29.0,30.0,104,1
2021-08-04,45.0,45.0,104,1
2021-08-05,31.0,31.0,104,1
2021-08-06,33.0,33.0,104,1
2021-08-07,20.0,21.0,104,1
2021-08-08,23.0,23.0,104,1
2021-08-09,41.0,40.0,104,1
2021-08-10,40.0,40.0,104,1
2021-08-11,32.0,32.0,104,1
2021-08-12,30.0,30.0,104,1
2021-08-13,34.0,34.0,104,1
2021-08-14,25.0,25.0,104,1
2021-08-15,34.0,34.0,104,1
2021-08-16,45.0,45.0,104,1
2021-08-17,48.0,47.0,104,1
2021-08-18,43.0,43.0,104,1
2021-08-19,41.0,40.0,104,1
2021-08-20,32.0,33.0,104,1
2021-08-21,34.0,34.0,104,1
2021-08-22,32.0,32.0,104,1
2021-08-23,60.0,59.0,104,1
2021-08-24,43.0,43.0,104,1
2021-08-25,35.0,35.0,104,1
2021-08-26,30.0,30.0,104,1
2021-08-27,31.0,31.0,104,1
2021-08-28,30.0,31.0,104,1
2021-08-29,34.0,35.0,104,1
2021-08-30,59.0,59.0,104,1
2021-08-31,42.0,42.0,104,1
2021-09-01,41.0,41.0,104,1
2021-09-02,49.0,48.0,104,1
2021-09-03,33.0,34.0,104,1
2021-09-04,30.0,31.0,104,1
2021-09-05,22.0,22.0,104,1
2021-09-06,30.0,30.0,104,1
2021-09-07,38.0,37.0,104,1
2021-09-08,57.0,57.0,104,1
2021-09-09,44.0,45.0,104,1
2021-09-10,38.0,39.0,104,1
2021-09-11,27.0,28.0,104,1
2021-09-12,34.0,34.0,104,1
2021-09-13,44.0,44.0,104,1
2021-09-14,42.0,41.0,104,1
2021-09-15,45.0,45.0,104,1
2021-09-16,34.0,35.0,104,1
2021-09-17,39.0,39.0,104,1
2021-09-18,42.0,43.0,104,1
2021-09-19,34.0,35.0,104,1
2021-09-20,46.0,47.0,104,1
2021-09-21,36.0,35.0,104,1
2021-09-22,46.0,45.0,104,1
2021-09-23,40.0,40.0,104,1
2021-09-24,42.0,43.0,104,1
2021-09-25,42.0,44.0,104,1
2021-09-26,29.0,30.0,104,1
2021-09-27,55.0,55.0,104,1
2021-09-28,39.0,39.0,104,1
2021-09-29,43.0,43.0,104,1
2021-09-30,52.0,51.0,104,1
2021-10-01,42.0,42.0,104,1
2021-10-02,37.0,38.0,104,1
2021-10-03,29.0,30.0,104,1
2021-10-04,43.0,44.0,104,1
2021-10-05,48.0,48.0,104,1
2021-10-06,35.0,36.0,104,1
2021-10-07,46.0,46.0,104,1
2021-10-08,46.0,46.0,104,1
2021-10-09,38.0,39.0,104,1
2021-10-10,48.0,48.0,104,1
2021-10-11,33.0,35.0,104,1
2021-10-12,53.0,53.0,104,1
2021-10-13,55.0,54.0,104,1
2021-10-14,42.0,42.0,104,1
2021-10-15,52.0,52.0,104,1
2021-10-16,26.0,28.0,104,1
2021-10-17,35.0,35.0,104,1
2021-10-18,66.0,66.0,104,1
2021-10-19,38.0,39.0,104,1
2021-10-20,35.0,36.0,104,1
2021-10-21,34.0,35.0,104,1
2021-10-22,41.0,41.0,104,1
2021-10-23,31.0,32.0,104,1
2021-10-24,28.0,30.0,104,1
2021-10-25,62.0,63.0,104,1
2021-10-26,42.0,44.0,104,1
2021-10-27,26.0,27.0,104,1
2021-10-28,50.0,50.0,104,1
2021-10-29,36.0,38.0,104,1
2021-10-30,38.0,39.0,104,1
2021-10-31,41.0,40.0,104,1
2021-11-01,57.0,57.0,104,1
2021-11-02,39.0,40.0,104,1
2021-11-03,53.0,53.0,104,1
2021-11-04,40.0,40.0,104,1
2021-11-05,42.0,43.0,104,1
2021-11-06,48.0,48.0,104,1
2021-11-07,29.0,30.0,104,1
2021-11-08,51.0,52.0,104,1
2021-11-09,48.0,48.0,104,1
2021-11-10,36.0,37.0,104,1
2021-11-11,40.0,41.0,104,1
2021-11-12,49.0,50.0,104,1
2021-11-13,24.0,26.0,104,1
2021-11-14,37.0,37.0,104,1
2021-11-15,47.0,48.0,104,1
2021-11-16,33.0,34.0,104,1
2021-11-17,36.0,37.0,104,1
2021-11-18,33.0,34.0,104,1
2021-11-19,54.0,55.0,104,1
2021-11-20,29.0,32.0,104,1
2021-11-21,32.0,32.0,104,1
2021-11-22,46.0,46.0,104,1
2021-11-23,51.0,51.0,104,1
2021-11-24,41.0,41.0,104,1
2021-11-25,21.0,23.0,104,1
2021-11-26,31.0,32.0,104,1
2021-11-27,35.0,35.0,104,1
2021-11-28,35.0,35.0,104,1
2021-11-29,52.0,53.0,104,1
2021-11-30,42.0,43.0,104,1
2021-12-01,38.0,39.0,104,1
2021-12-02,56.0,55.0,104,1
2021-12-03,57.0,57.0,104,1
2021-12-04,34.0,37.0,104,1
2021-12-05,30.0,31.0,104,1
2021-12-06,40.0,40.0,104,1
2021-12-07,42.0,41.0,104,1
2021-12-08,38.0,38.0,104,1
2021-12-09,29.0,31.0,104,1
2021-12-10,39.0,41.0,104,1
2021-12-11,30.0,31.0,104,1
2021-12-12,21.0,22.0,104,1
2021-12-13,49.0,50.0,104,1
2021-12-14,40.0,42.0,104,1
2021-12-15,44.0,45.0,104,1
2021-12-16,31.0,31.0,104,1
2021-12-17,40.0,41.0,104,1
2021-12-18,37.0,38.0,104,1
2021-12-19,49.0,49.0,104,1
2021-12-20,48.0,48.0,104,1
2021-12-21,34.0,34.0,104,1
2021-12-22,41.0,41.0,104,1
2021-12-23,53.0,52.0,104,1
2021-12-24,26.0,27.0,104,1
2021-12-25,28.0,29.0,104,1
2021-12-26,40.0,40.0,104,1
2021-12-27,47.0,48.0,104,1
2021-12-28,37.0,38.0,104,1
2021-12-29,35.0,36.0,104,1
2021-12-30,32.0,33.0,104,1
2021-12-31,43.0,44.0,104,1
2022-01-01,30.0,30.0,104,1
2022-01-02,33.0,34.0,104,1
2022-01-03,35.0,36.0,104,1
2022-01-04,48.0,48.0,104,1
2022-01-05,47.0,47.0,104,1
2022-01-06,43.0,43.0,104,1
2022-01-07,34.0,35.0,104,1
2022-01-08,35.0,36.0,104,1
2022-01-09,36.0,35.0,104,1
2022-01-10,52.0,51.0,104,1
2022-01-11,34.0,34.0,104,1
2022-01-12,35.0,36.0,104,1
2022-01-13,49.0,48.0,104,1
2022-01-14,50.0,49.0,104,1
2022-01-15,38.0,39.0,104,1
2022-01-16,47.0,48.0,104,1
2022-01-17,35.0,36.0,104,1
2022-01-18,45.0,44.0,104,1
2022-01-19,36.0,35.0,104,1
2022-01-20,41.0,42.0,104,1
2022-01-21,42.0,43.0,104,1
2022-01-22,37.0,38.0,104,1
2022-01-23,35.0,35.0,104,1
2022-01-24,44.0,45.0,104,1
2022-01-25,49.0,50.0,104,1
2022-01-26,38.0,39.0,104,1
2022-01-27,36.0,36.0,104,1
2022-01-28,49.0,49.0,104,1
2022-01-29,46.0,46.0,104,1
2022-01-30,33.0,35.0,104,1
2022-01-31,61.0,61.0,104,1
2022-02-01,50.0,50.0,104,1
2022-02-02,39.0,39.0,104,1
2022-02-03,34.0,35.0,104,1
2022-02-04,43.0,42.0,104,1
2022-02-05,31.0,32.0,104,1
2022-02-06,38.0,38.0,104,1
2022-02-07,39.0,40.0,104,1
2022-02-08,39.0,40.0,104,1
